good_sentence,bad_sentence,direct_log_prob_good,direct_log_prob_bad,MetaQuestionSimple_log_prob_good,MetaQuestionSimple_log_prob_bad,MetaInstruct_log_prob_good,MetaInstruct_log_prob_bad,MetaQuestionComplex_log_prob_good,MetaQuestionComplex_log_prob_bad
A print of many eyes does vanish.,A print of many eyes do vanish.,-91.18856811523438,-90.16041564941406,-5.433380365371704,-5.788642644882202,-5.349719285964966,-5.9404456615448,-4.862187385559082,-5.107194900512695
Judy broke that couch.,Judy broke those couch.,-83.39470672607422,-88.48335266113281,-6.154590606689453,-5.315503120422363,-5.5343077182769775,-4.673076868057251,-5.638849258422852,-5.508504867553711
All guys could bore this unemployed dancer.,All guys could bore these unemployed dancer.,-111.66392517089844,-117.0650634765625,-6.3993449211120605,-5.030043125152588,-5.600695013999939,-4.340984582901001,-5.526235580444336,-5.383965492248535
The forgotten synopsis was good.,The forgot synopsis was good.,-82.01449584960938,-85.94343566894531,-5.172121524810791,-5.104433536529541,-5.158965110778809,-5.156276702880859,-5.603211045265198,-5.356558203697205
There weren't bound to be many computers boring Tara.,There weren't excited to be many computers boring Tara.,-112.33998107910156,-127.10260009765625,-5.638902187347412,-5.73995304107666,-5.481414318084717,-5.620598316192627,-5.343599319458008,-5.215792536735535
Angela can't stun herself.,Angela can't stun itself.,-81.46296691894531,-86.66844177246094,-5.723846673965454,-5.663186311721802,-5.155388832092285,-5.0422186851501465,-4.916988134384155,-5.062722086906433
Cindy could praise these men.,Cindy could praise this men.,-79.6973876953125,-85.19256591796875,-6.233240127563477,-6.2464985847473145,-5.638427972793579,-5.7857582569122314,-5.618938446044922,-5.548090934753418
The Clintons often climb down a ladder.,The Clintons ever climb down a ladder.,-77.90648651123047,-85.1741943359375,-5.928209066390991,-5.220745801925659,-5.402071237564087,-4.977750539779663,-5.5820395946502686,-5.574549436569214
Only Natalie's niece that Lori listens to ever prevented Bethany from exploring this college campus.,Natalie's niece that only Lori listens to ever prevented Bethany from exploring this college campus.,-171.28103637695312,-172.2206573486328,-6.4055023193359375,-6.027925491333008,-6.175194978713989,-5.887834787368774,-6.807960748672485,-6.751185417175293
Ella remembered that most customers discuss Bruce.,Ella remembered who most customers discuss Bruce.,-106.84674072265625,-112.88182067871094,-5.250268936157227,-5.131458282470703,-5.292362928390503,-5.275673151016235,-6.578244686126709,-6.118017196655273
Only some tomato had ever charred.,Even some tomato had ever charred.,-99.23922729492188,-96.83148193359375,-5.563930511474609,-5.836492538452148,-5.368678569793701,-5.538409233093262,-5.2334489822387695,-5.431051254272461
No man had toured more than five libraries.,No man had toured at least five libraries.,-92.67982482910156,-92.34365844726562,-6.007282495498657,-5.986285924911499,-5.607213735580444,-5.401079416275024,-6.121667385101318,-5.961564540863037
Dawn hasn't said Robert hadn't watched himself.,Dawn hasn't said Robert hadn't watched herself.,-110.97274780273438,-110.92510986328125,-5.844230890274048,-5.421705007553101,-5.100404262542725,-4.871849060058594,-6.25507664680481,-6.208623647689819
What is Derek ascending without noticing every ladder?,What is Derek ascending every ladder without noticing?,-115.13418579101562,-114.64045715332031,-5.406534433364868,-5.509962320327759,-5.065221071243286,-4.958162903785706,-6.186452865600586,-6.047880172729492
Lissa hadn't discovered there to be mountains disappearing.,Lissa hadn't implored there to be mountains disappearing.,-116.93719482421875,-124.56243896484375,-5.877782821655273,-6.263087749481201,-5.2495152950286865,-5.693209409713745,-5.823543071746826,-5.634861469268799
An actor wasn't bound to propose to drive to these banks.,An actor wasn't unpleasant to propose to drive to these banks.,-125.89566040039062,-128.64334106445312,-5.749767065048218,-5.430965185165405,-5.282408714294434,-5.21740198135376,-5.849745512008667,-5.842040777206421
The Borgias figure out what that pedestrian that comes here goes to.,The Borgias figure out that that pedestrian that comes here goes to.,-130.6910400390625,-138.6359405517578,-6.515070676803589,-5.698701620101929,-6.382983922958374,-5.1533043384552,-6.519267797470093,-6.069103956222534
Janet discovers Lissa.,Janet discover Lissa.,-85.73008728027344,-91.28590393066406,-6.7392802238464355,-6.7217488288879395,-6.621146202087402,-6.525999069213867,-4.7683024406433105,-4.918308258056641
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,-105.6949462890625,-124.56881713867188,-5.534317255020142,-5.114347696304321,-5.221900224685669,-4.817040205001831,-6.1549458503723145,-6.179701805114746
A lot of customers were disliked by some person.,A lot of customers were disliked by some casseroles.,-82.56057739257812,-95.33592224121094,-5.203811883926392,-5.7493736743927,-5.0348968505859375,-5.659482479095459,-6.2592809200286865,-6.356371641159058
The dancer suffers.,The dancers suffers.,-70.94403076171875,-76.64314270019531,-6.432789087295532,-5.967944383621216,-6.453272581100464,-5.823763608932495,-5.243941783905029,-5.2730560302734375
Stacey can listen to which child?,Which can Stacey listen to child?,-97.82252502441406,-100.00961303710938,-5.906552314758301,-5.727677822113037,-5.549785614013672,-5.6086225509643555,-5.514602422714233,-5.316242933273315
Maria hated herself.,Maria hated itself.,-67.63386535644531,-74.0610580444336,-5.83935284614563,-5.9094178676605225,-5.55422306060791,-5.568228244781494,-5.003351211547852,-4.969483852386475
Who had the legislatures learned they won't watch?,Who had the legislatures learned who won't watch?,-108.06877136230469,-115.11044311523438,-6.259049415588379,-6.343914031982422,-5.961448431015015,-6.121296167373657,-5.68540620803833,-5.680817127227783
Anne imagines Carlos helps himself.,Carlos imagines Anne helps himself.,-90.93521118164062,-88.06312561035156,-5.363656044006348,-5.445196628570557,-4.963498592376709,-5.0419135093688965,-5.269297361373901,-5.3359644412994385
Dan's classmates aren't seen by the teacher's mothers.,Dan's classmates aren't struggled by the teacher's mothers.,-100.88749694824219,-108.1910400390625,-5.961598634719849,-6.007893800735474,-5.915294647216797,-5.9229912757873535,-5.908393383026123,-5.811081409454346
Teresa's electricians weren't approached by Mary.,Teresa's electricians weren't responded by Mary.,-99.42405700683594,-104.29339599609375,-6.322913885116577,-6.0805723667144775,-5.998753786087036,-5.745744943618774,-5.716193199157715,-5.477919220924377
Only the cakes would ever char.,Even the cakes would ever char.,-89.54849243164062,-87.08839416503906,-6.603675603866577,-6.539666414260864,-6.069903373718262,-6.097079277038574,-5.607794761657715,-5.524424076080322
Even Roger also smiles.,Even Roger ever smiles.,-83.55242156982422,-83.9006118774414,-6.191027641296387,-5.680966377258301,-5.897348403930664,-5.494381427764893,-5.725241661071777,-5.462342381477356
Kayla insults herself.,Kayla insults itself.,-74.65275573730469,-80.00592803955078,-6.227664470672607,-6.22754430770874,-5.7623045444488525,-5.764531850814819,-5.747338056564331,-5.798214673995972
The men couldn't disagree with themselves.,The men couldn't disagree with herself.,-75.76658630371094,-77.99229431152344,-4.976101636886597,-5.155958890914917,-4.824056386947632,-4.886963605880737,-5.757779359817505,-5.680113077163696
That painting is looking like this delighted boy.,That painting is looking like this delighted boys.,-97.311279296875,-100.70538330078125,-6.000847816467285,-5.621387481689453,-5.745948553085327,-5.153272867202759,-6.83666729927063,-6.768047571182251
Some waiter remembers Ruth.,Every fork remembers Ruth.,-83.80976867675781,-94.38885498046875,-5.769654273986816,-6.025021076202393,-5.094428658485413,-4.990626096725464,-5.116219401359558,-4.980876684188843
Sherry thought about herself questioning every adult.,Sherry thought about herself questions every adult.,-99.22380065917969,-102.745361328125,-6.0041046142578125,-5.845560073852539,-6.163912773132324,-5.7808518409729,-5.323683738708496,-5.748866558074951
Becky's classmates found there to be fewer than three grandsons of Beverly upsetting Mark.,Becky's classmates persuade there to be fewer than three grandsons of Beverly upsetting Mark.,-154.02085876464844,-161.6055145263672,-6.447950839996338,-6.323952674865723,-6.105657577514648,-6.036279678344727,-6.06298303604126,-6.0743608474731445
Stephanie hasn't said James reveals himself.,Stephanie hasn't said James reveals herself.,-105.30181884765625,-106.48591613769531,-5.668375730514526,-5.499953508377075,-5.223874568939209,-5.0712175369262695,-6.141472578048706,-6.267094850540161
Art has distracted one uncertain podiatrist and many hills had distracted two.,Art has distracted one podiatrist and many hills had distracted two uncertain.,-148.18487548828125,-146.23654174804688,-5.5733208656311035,-5.066830158233643,-5.473851919174194,-5.005436658859253,-6.54242730140686,-6.536933422088623
All radii haven't shocked Katherine.,All radii hasn't shocked Katherine.,-99.42913818359375,-102.76860046386719,-5.348323583602905,-5.108090281486511,-5.5663206577301025,-5.4540828466415405,-5.1062891483306885,-4.849733591079712
Eva had thought about these grocery stores that Alan was driving to.,Eva had thought about what Alan was driving to these grocery stores.,-115.07950592041016,-120.15081787109375,-5.227087020874023,-5.724116325378418,-4.895997524261475,-5.4217376708984375,-5.825483798980713,-5.798525810241699
There is a vase appearing.,There is each vase appearing.,-77.24872589111328,-88.24455261230469,-5.051302671432495,-4.3153235912323,-4.973894476890564,-4.368073463439941,-4.956644296646118,-4.559807062149048
Clyde's girlfriend isn't observed.,Clyde's girlfriend isn't murmured.,-82.32305145263672,-91.95487976074219,-5.763791799545288,-5.6019980907440186,-5.274711608886719,-5.089197635650635,-5.074441194534302,-4.956390619277954
The hidden convertible is small.,The hid convertible is small.,-73.01881408691406,-86.3133544921875,-6.135788202285767,-6.243964433670044,-5.852638244628906,-6.0606770515441895,-5.51301896572113,-5.670000076293945
