prefix,plausible,implausible,direct_log_prob_plausible,direct_log_prob_implausible,MetaQuestionSimple_log_prob_plausible,MetaQuestionSimple_log_prob_implausible,MetaInstruct_log_prob_plausible,MetaInstruct_log_prob_implausible,MetaQuestionComplex_log_prob_plausible,MetaQuestionComplex_log_prob_implausible
The child visited the,grandmother,president,-14.609521865844727,-18.296262741088867,-13.48884391784668,-15.793343544006348,-13.611380577087402,-15.16580057144165,-8.05616283416748,-10.210039615631104
The undertaker dug the,grave,trench,-17.128427505493164,-15.85944938659668,-15.330463886260986,-13.950764179229736,-13.860818862915039,-13.452819347381592,-10.66569709777832,-10.772987365722656
The player reached the,goal,moon,-15.796793937683105,-18.541791915893555,-14.760320663452148,-16.97751808166504,-14.29364013671875,-16.70203399658203,-10.12379789352417,-12.326905727386475
The cheerleader shook the,flag,drink,-18.813228607177734,-18.934640884399414,-15.81943655014038,-17.26977825164795,-14.642187118530273,-17.19530963897705,-9.188705921173096,-8.820787906646729
The witness explained the,circumstances,equation,-17.89974021911621,-15.688488006591797,-18.127729415893555,-15.14004135131836,-18.877750396728516,-16.56407928466797,-11.289589405059814,-8.300692081451416
The nurse washed the,infant,car,-16.87741470336914,-17.360408782958984,-14.47428035736084,-14.65556526184082,-13.56035852432251,-13.946812629699707,-10.013910293579102,-8.871225357055664
The butcher used the,knife,camera,-16.835411071777344,-22.053735733032227,-11.74702787399292,-16.49386215209961,-10.821992874145508,-15.957871437072754,-7.1288111209869385,-10.695339679718018
The patient reported the,symptom,crime,-16.013168334960938,-19.47761344909668,-16.21818971633911,-16.69630527496338,-16.573866844177246,-17.160320281982422,-9.950498104095459,-10.799448490142822
The soldier hung the,rifle,picture,-17.527225494384766,-17.46790885925293,-16.893813133239746,-15.038675785064697,-16.986295700073242,-15.58679485321045,-10.665428161621094,-7.789529085159302
The doctor visited the,patient,museum,-9.530632019042969,-19.932039260864258,-9.40692949295044,-17.260042190551758,-8.834604740142822,-16.872262001037598,-6.829574346542358,-12.206841468811035
The astronaut reached the,moon,baker,-16.965511322021484,-19.33336067199707,-17.955005645751953,-18.855594635009766,-17.678131103515625,-19.210684776306152,-13.0631742477417,-10.33629322052002
The mother held the,child,flag,-15.906989097595215,-19.43402862548828,-12.687735557556152,-14.460973739624023,-12.831469535827637,-14.133620738983154,-9.114351272583008,-10.01904296875
The speaker entertained the,audience,dog,-12.721602439880371,-20.0989933013916,-10.801281452178955,-13.947136878967285,-10.234988689422607,-14.062467098236084,-8.77113676071167,-7.831295728683472
The woman opened the,bag,manhole,-17.456523895263672,-17.862579345703125,-14.886048316955566,-13.591435432434082,-14.711024284362793,-12.389726161956787,-8.308595657348633,-8.410256385803223
The porter loaded the,luggage,file,-19.05310821533203,-15.710622787475586,-17.75434684753418,-16.78904151916504,-18.615644454956055,-18.329551696777344,-14.149302005767822,-10.12155294418335
The goalkeeper grabbed the,ball,phone,-13.767495155334473,-19.928295135498047,-11.757754802703857,-15.971720218658447,-11.8438081741333,-17.967153549194336,-8.210236310958862,-8.385424137115479
The dog pulled the,sled,trigger,-16.802398681640625,-16.422283172607422,-13.37152624130249,-14.792681694030762,-12.735419750213623,-14.454041957855225,-9.994987487792969,-8.053738832473755
The professor taught the,language,karate,-16.911746978759766,-20.02503776550293,-14.91774034500122,-16.142934799194336,-15.37388801574707,-15.667219161987305,-9.81488037109375,-10.627814292907715
The spectator bought the,ticket,car,-16.790393829345703,-17.686006546020508,-15.45842170715332,-15.760558128356934,-15.593480110168457,-16.6756911277771,-11.126240253448486,-10.323770999908447
The student drank the,coffee,milk,-17.08014678955078,-14.699357032775879,-14.127153396606445,-11.771117210388184,-13.353652954101562,-11.313355445861816,-11.416319370269775,-8.542759418487549
The baker gathered the,bread,soldier,-12.222604751586914,-14.744159698486328,-10.412036895751953,-15.085443496704102,-9.646496295928955,-14.206047058105469,-7.7511210441589355,-10.409759044647217
The witness reported the,crime,birth,-19.576297760009766,-19.02412986755371,-15.936454772949219,-19.768864631652832,-16.02351999282837,-20.62807273864746,-9.4801926612854,-9.027315616607666
The hairstylist sprayed the,foam,pesticide,-18.996801376342773,-17.161592483520508,-14.977226257324219,-16.937885284423828,-14.00899600982666,-16.0745906829834,-11.121935844421387,-10.523110389709473
The actor won the,award,battle,-19.684144973754883,-20.04075050354004,-17.320076942443848,-18.53905200958252,-17.36896800994873,-18.199774742126465,-10.32346248626709,-9.381769180297852
The fisherman sold the,fish,drug,-10.400413513183594,-16.51217269897461,-8.201098680496216,-16.106627464294434,-9.078602313995361,-16.599080085754395,-6.633209466934204,-12.1331205368042
The doctor offered the,support,breakfast,-20.153949737548828,-17.356155395507812,-17.818151473999023,-14.229124546051025,-17.621216773986816,-14.932599067687988,-9.28327751159668,-10.531560897827148
The child told the,lie,verdict,-18.546249389648438,-19.209224700927734,-16.248716354370117,-16.57733726501465,-17.10965919494629,-16.802005767822266,-6.135742902755737,-8.683356285095215
The boxer delivered the,punch,drink,-20.17646026611328,-22.462318420410156,-19.522391319274902,-19.08793544769287,-20.369598388671875,-20.843088150024414,-10.582921504974365,-9.134362697601318
The cyclist completed the,race,project,-19.790510177612305,-20.140546798706055,-20.812335968017578,-17.043575286865234,-19.763568878173828,-16.579946517944336,-12.309342861175537,-9.67831563949585
The child threw the,snowball,spear,-16.972732543945312,-19.335535049438477,-14.592570781707764,-15.65306043624878,-13.815054416656494,-15.144668102264404,-12.001887321472168,-10.33393383026123
The soldier celebrated the,victory,graduation,-23.030921936035156,-22.316911697387695,-22.36663246154785,-20.412458419799805,-22.401592254638672,-20.069199562072754,-12.472465515136719,-9.60360336303711
The violinist played the,violin,trumpet,-15.013303756713867,-18.449676513671875,-13.413050651550293,-14.140367031097412,-13.292234420776367,-14.294233798980713,-8.317550659179688,-9.138468742370605
The scientist reported the,finding,marriage,-17.139633178710938,-20.54239273071289,-15.778453350067139,-17.81034278869629,-15.537933349609375,-17.32593059539795,-10.281698226928711,-10.092631340026855
The teacher gave the,homework,drug,-15.86208438873291,-18.956478118896484,-13.840441703796387,-18.28587818145752,-13.471126556396484,-18.5618896484375,-10.29331636428833,-12.698288440704346
The confectioner spread the,icing,cement,-2.6558399200439453,-14.963394165039062,-0.0064801296684890985,-17.923705101013184,-0.004667245666496456,-18.217552185058594,-0.07163328677415848,-11.599655628204346
The waiter fetched the,water,ball,-17.71417808532715,-17.8668212890625,-12.227505683898926,-11.901311874389648,-12.74048662185669,-12.628501415252686,-8.481981754302979,-8.277886867523193
The firefighter fought the,fire,crime,-15.701221466064453,-17.727651596069336,-15.091922283172607,-14.66716194152832,-15.247931957244873,-14.215855598449707,-9.182204246520996,-9.992274284362793
The chemist poured the,compound,juice,-18.162853240966797,-14.689661026000977,-17.686318397521973,-11.297038078308105,-16.510790824890137,-11.195087909698486,-10.025872707366943,-8.592898845672607
The child picked the,flower,investment,-17.525754928588867,-24.70513343811035,-12.531997203826904,-21.647454261779785,-11.3135986328125,-21.24644374847412,-8.031486988067627,-9.376984119415283
The billionaire donated the,money,book,-16.834903717041016,-16.820388793945312,-13.898712158203125,-15.077425479888916,-14.26532793045044,-16.386188983917236,-8.169670104980469,-8.007458686828613
The child opened the,present,congress,-20.532672882080078,-19.829448699951172,-20.825742721557617,-16.5045223236084,-19.699519157409668,-14.584730625152588,-11.254500389099121,-10.16638469696045
The footballer kicked the,ball,vase,-11.642094612121582,-20.757408142089844,-11.170962810516357,-19.099674224853516,-10.912932395935059,-18.555570602416992,-7.2701027393341064,-10.87679147720337
The spy passed the,information,frisbee,-17.407283782958984,-18.5986385345459,-15.115574836730957,-16.0606689453125,-15.042255401611328,-14.623636722564697,-8.996640682220459,-9.245458126068115
The florist sold the,flower,bike,-14.526383399963379,-19.309255599975586,-12.07172155380249,-16.53524112701416,-11.816715240478516,-15.970057487487793,-7.695425987243652,-10.431106090545654
