prefix,continuation,direct_log_prob,MetaQuestionSimple_log_prob,MetaInstruct_log_prob,MetaQuestionComplex_log_prob
A rifle is a firearm that rests on the shoulder and has a barrel with twisting,grooves,-18.52155876159668,-18.057031631469727,-17.9935245513916,-22.274370193481445
"The piano has an enormous note range, and pedals to change the sound",quality,-10.305992126464844,-9.523478507995605,-9.737861633300781,-14.092083930969238
A tropical cyclone can move inland and seriously damage,property,-9.751904487609863,-9.767919540405273,-10.303719520568848,-16.343345642089844
Theft is the taking of person's property without their,consent,-2.5968422889709473,-2.489940643310547,-2.2825231552124023,-15.89780330657959
A butterfly is a flying insect with four large,wings,-3.605649948120117,-3.49531626701355,-3.5084404945373535,-13.385514259338379
A whale is a very large mammal that lives in the,ocean,-3.6411867141723633,-2.160539150238037,-2.439640522003174,-11.876913070678711
Bees spread pollen between flowers as they collect nectar to make,honey,-4.936355113983154,-4.766923904418945,-4.107835292816162,-10.222216606140137
Most earthquakes are caused by the release of energy in the Earth's,crust,-4.399215221405029,-4.044966697692871,-3.902350902557373,-14.75200080871582
"Whales have been hunted for meat, whale oil and",ambergris,-20.645185470581055,-20.263568878173828,-20.443681716918945,-19.417930603027344
Freshly squeezed orange juice often contains pulp as,well,-8.390045166015625,-9.6536865234375,-9.828178405761719,-11.646831512451172
"The skin of a peach is thin and covered in small, fine",hairs,-14.598173141479492,-16.028425216674805,-15.167211532592773,-15.989789009094238
"The elephant has a pair of ivory tusks, for moving objects or digging into",trees,-10.168173789978027,-8.210744857788086,-7.747220993041992,-14.739124298095703
Lentils are cooked by boiling and are a great source of,protein,-5.025927543640137,-3.9023220539093018,-4.069152355194092,-12.679240226745605
"Ravens feed on carrion, insects, berries or small",animals,-7.009196758270264,-5.773076057434082,-5.73067569732666,-11.360116004943848
Eagles live in eyries and some species eat fish and others small,mammals,-14.264939308166504,-13.718276977539062,-13.656402587890625,-18.682788848876953
"A human can ride a horse while it walks, trots or",gallops,-20.05242919921875,-18.76333999633789,-19.040998458862305,-19.831436157226562
A frying pan is a small pan with sloping sides and a,handle,-6.191830158233643,-5.18979549407959,-4.985417366027832,-14.763519287109375
"Vultures are scavenging birds, feeding mostly on the carcasses of dead",animals,-7.878300189971924,-5.777009010314941,-6.17227840423584,-11.208514213562012
"Retaining walls provide a barrier to movement of earth, stone or",water,-7.185238838195801,-6.447662353515625,-6.3289875984191895,-10.009113311767578
"Peaches are sweet and delicate, and must be harvested after",ripening,-19.732406616210938,-18.910350799560547,-18.960981369018555,-20.460895538330078
Blacksmiths wears a thick apron and handle the metal with,tongs,-15.25402545928955,-14.380941390991211,-13.80543327331543,-14.931483268737793
"People use bicycles for transportation, recreation and",racing,-10.874347686767578,-10.336860656738281,-10.03931713104248,-14.405860900878906
"Apples have thin skin, a crisp, sweet pulp and seeds",inside,-9.948033332824707,-9.919803619384766,-9.89282512664795,-15.181022644042969
Most doors have locks to control who gets to pass through,them,-5.024138927459717,-4.740030288696289,-3.3750860691070557,-13.960908889770508
The severity of the arson depends on whether people were,harmed,-17.55043601989746,-17.387210845947266,-16.98050880432129,-19.3648681640625
"Broccoli can be boiled, stir-fried or eaten",raw,-5.825942039489746,-7.161969184875488,-6.111320495605469,-14.111001014709473
The type of forest depends on temperature and rainfall in its,location,-5.275468826293945,-4.721343994140625,-4.968103408813477,-13.913223266601562
The violin is an instrument with four strings that is played with a,bow,-7.487068176269531,-7.465112209320068,-7.863753795623779,-11.950727462768555
An accordion is a portable musical instrument with two,keyboards,-17.67825698852539,-14.605354309082031,-14.675639152526855,-21.40696144104004
