grammatical,ungrammatical,direct_log_prob_grammatical,direct_log_prob_ungrammatical,MetaQuestionSimple_log_prob_yes_grammatical,MetaQuestionSimple_log_prob_no_grammatical,MetaQuestionSimple_log_prob_yes_ungrammatical,MetaQuestionSimple_log_prob_no_ungrammatical,MetaInstruct_log_prob_yes_grammatical,MetaInstruct_log_prob_no_grammatical,MetaInstruct_log_prob_yes_ungrammatical,MetaInstruct_log_prob_no_ungrammatical,MetaQuestionComplex_log_prob_yes_grammatical,MetaQuestionComplex_log_prob_no_grammatical,MetaQuestionComplex_log_prob_yes_ungrammatical,MetaQuestionComplex_log_prob_no_ungrammatical
A print of many eyes does vanish.,A print of many eyes do vanish.,-69.64998626708984,-70.21837615966797,-1.9386661052703857,-3.554809331893921,-2.2345645427703857,-3.5029170513153076,-0.801943302154541,-3.3452439308166504,-0.8431658744812012,-3.1914353370666504,-1.599007248878479,-4.369238376617432,-1.7263386249542236,-4.4628496170043945
Judy broke that couch.,Judy broke those couch.,-61.43876838684082,-67.5856704711914,-1.9577614068984985,-4.2085747718811035,-2.460235357284546,-3.2677066326141357,-0.8299157023429871,-4.042229175567627,-1.356852412223816,-3.314253807067871,-1.114713191986084,-4.136806964874268,-1.389013648033142,-3.9142632484436035
All guys could bore this unemployed dancer.,All guys could bore these unemployed dancer.,-91.97877502441406,-96.5330581665039,-2.34438419342041,-3.262028694152832,-3.071592330932617,-3.4364280700683594,-1.2949413061141968,-2.841627597808838,-1.7598302364349365,-2.873913526535034,-2.005669116973877,-4.2556633949279785,-1.817651629447937,-3.83559513092041
The forgotten synopsis was good.,The forgot synopsis was good.,-61.855607986450195,-64.34680366516113,-1.8567030429840088,-3.8057100772857666,-1.7186191082000732,-3.898284673690796,-0.9855543375015259,-3.564939022064209,-0.9280537962913513,-3.509126663208008,-1.5982980728149414,-4.247428894042969,-1.4786298274993896,-4.152381896972656
There weren't bound to be many computers boring Tara.,There weren't excited to be many computers boring Tara.,-91.01059246063232,-104.7206449508667,-2.233640670776367,-3.178119659423828,-2.4487080574035645,-2.7599902153015137,-1.1972066164016724,-2.8581180572509766,-1.3689144849777222,-2.511563301086426,-1.5423041582107544,-3.757619857788086,-2.019850254058838,-3.0888381004333496
Angela can't stun herself.,Angela can't stun itself.,-60.53655242919922,-66.82004070281982,-2.624584197998047,-3.115297317504883,-2.6082046031951904,-2.667137861251831,-1.4545207023620605,-2.8104472160339355,-1.6982436180114746,-2.5296425819396973,-1.5289857387542725,-3.691012144088745,-1.8083899021148682,-3.834608316421509
Cindy could praise these men.,Cindy could praise this men.,-58.79790782928467,-64.76625537872314,-2.4268176555633545,-4.609131813049316,-2.813958168029785,-4.489991188049316,-1.3626916408538818,-4.928651809692383,-1.5072014331817627,-4.483555793762207,-1.4502203464508057,-5.044936180114746,-1.7697319984436035,-4.8078389167785645
The Clintons often climb down a ladder.,The Clintons ever climb down a ladder.,-56.35403060913086,-65.45216369628906,-2.1236891746520996,-4.059034824371338,-1.9587410688400269,-3.235945701599121,-1.1252729892730713,-3.7313807010650635,-1.1153446435928345,-2.889373302459717,-1.0589536428451538,-4.381371974945068,-1.4466150999069214,-4.356880187988281
Only Natalie's niece that Lori listens to ever prevented Bethany from exploring this college campus.,Natalie's niece that only Lori listens to ever prevented Bethany from exploring this college campus.,-152.7278995513916,-152.67555236816406,-2.216184616088867,-2.917757987976074,-1.6479984521865845,-3.286942958831787,-1.2476575374603271,-3.008392095565796,-1.1300309896469116,-3.236055850982666,-1.1019227504730225,-3.5137689113616943,-0.9758303165435791,-3.63116192817688
Ella remembered that most customers discuss Bruce.,Ella remembered who most customers discuss Bruce.,-87.86313343048096,-94.34931564331055,-2.745279550552368,-3.435457468032837,-1.911276936531067,-3.4101219177246094,-1.5071721076965332,-3.6286330223083496,-1.0561492443084717,-3.7582366466522217,-1.253297209739685,-4.106857776641846,-1.5265403985977173,-4.125120639801025
